id,region.x,normalized_built_area,normalized_human_mod,region.y,normalized_pop_change,region.x.x,normalized_ports,region.y.y,normalized_roads,added_pressure,pressure_index
93,Nordeste,0.0111331698,0.4775469088,Nordeste,0,Nordeste,0.3333333333,Nordeste,0.1455152803,0.9675286922,0.2526346823
94,Nordeste,0.0114804789,0.5024318752,Nordeste,0,Nordeste,0.3333333333,Nordeste,0.1420145372,0.9892602246,0.2584087269
95,Nordeste,0.0117252438,0.5095878534,Nordeste,0,Nordeste,0.3333333333,Nordeste,0.1410124397,0.9956588702,0.2601088401
96,Nordeste,0.0118567984,0.5250861578,Nordeste,0,Nordeste,0.3333333333,Nordeste,0.1426463007,1.0129225902,0.2646957918
97,Nordeste,0.0136700177,0.5332875719,Nordeste,0,Nordeste,0.3333333333,Nordeste,0.142110953,1.0224018759,0.2672144278
98,Nordeste,0.0047622404,0.3408873516,Nordeste,0,Nordeste,1,Nordeste,0.0725257585,1.4181753505,0.3723710114
99,Nordeste,5.87472e-5,0.1641636386,Nordeste,0,Nordeste,0,Nordeste,0.0392891839,0.2035115697,0.0496361601
100,Nordeste,3.02717e-5,0.2152086694,Nordeste,0.0199431758,Nordeste,0,Nordeste,0.0580242234,0.2932063403,0.0734679636
101,Nordeste,4.07673e-5,0.2329325154,Nordeste,0.0199431758,Nordeste,0,Nordeste,0.0499454673,0.3028619258,0.0760334422
102,Nordeste,0.4327460137,0.9771113558,Nordeste,0.7482680842,Nordeste,0.3333333333,Nordeste,0.566522478,3.057981265,0.8080656673
103,Nordeste,0.4331453811,0.9710984829,Nordeste,0.7482680842,Nordeste,0.3333333333,Nordeste,0.5762096531,3.0620549346,0.8091480369
104,Nordeste,0.4326521921,0.9562383041,Nordeste,0.7482680842,Nordeste,0.3333333333,Nordeste,0.6128839721,3.0833758858,0.8148129906
105,Nordeste,0.4622303798,0.9577662093,Nordeste,0.7482680842,Nordeste,0.3333333333,Nordeste,0.6674772899,3.1690752965,0.8375832312
106,Nordeste,0.5300898155,0.9458825024,Nordeste,0.7482680842,Nordeste,0.3333333333,Nordeste,0.8023020146,3.35987575,0.8882787051
107,Nordeste,0.3687679083,0.9181957531,Nordeste,0.7482680842,Nordeste,0,Nordeste,0.8397275381,2.8749592837,0.7594369251
108,Nordeste,0.3601579065,0.8991858338,Nordeste,0.160581499,Nordeste,0,Nordeste,0.8220941331,2.2420193724,0.591265476
109,Nordeste,0.3423768546,0.8945974647,Nordeste,0.160581499,Nordeste,0,Nordeste,0.7932062481,2.1907620664,0.5776464653
110,Nordeste,0.155745855,0.8710801018,Nordeste,0.160581499,Nordeste,0,Nordeste,0.5435094217,1.7309168775,0.4554660965
111,Nordeste,0.145184907,0.8613522816,Nordeste,0.160581499,Nordeste,0,Nordeste,0.5272507272,1.6943694148,0.4457554753
112,Nordeste,0.2025780901,0.8729836666,Nordeste,0.160581499,Nordeste,0,Nordeste,0.6786533185,1.9147965742,0.5043227328
113,Nordeste,0.1358329601,0.8594124852,Nordeste,0.160581499,Nordeste,0,Nordeste,0.510861824,1.6666887683,0.4384007575
114,Nordeste,0.12649366,0.8540370196,Nordeste,0.160581499,Nordeste,0,Nordeste,0.5043097967,1.6454219753,0.4327501936
115,Nordeste,0.1231197243,0.8486661918,Nordeste,0.2614139126,Nordeste,0,Nordeste,0.5033605733,1.736560402,0.4569655749
116,Nordeste,0.1203034729,0.8501466472,Nordeste,0.2614139126,Nordeste,0,Nordeste,0.4887184917,1.7205825244,0.4527202701
117,Nordeste,0.0983390521,0.8159768101,Nordeste,0.2614139126,Nordeste,0,Nordeste,0.4627483791,1.6384781539,0.4309052278
118,Nordeste,0.0964731957,0.8061070115,Nordeste,0.2614139126,Nordeste,0,Nordeste,0.4689154648,1.6329095846,0.4294256649
119,Nordeste,0.0885754,0.761062783,Nordeste,0.2614139126,Nordeste,0,Nordeste,0.4593775878,1.5704296834,0.4128248228
120,Nordeste,0.0421205358,0.6636981012,Nordeste,0.2614139126,Nordeste,0,Nordeste,0.3182343803,1.2854669299,0.3371105278
121,Nordeste,0.0153208804,0.5142559837,Nordeste,0.2614139126,Nordeste,0,Nordeste,0.1741469612,0.9651377379,0.2519994083
122,Nordeste,0.0094135831,0.481823355,Nordeste,0.2614139126,Nordeste,0,Nordeste,0.1516151659,0.90426601660000006,0.2358258579
123,Nordeste,2.62228e-5,0.2561357807,Nordeste,0.0075905053,Nordeste,0,Nordeste,0.0576670335,0.3214195423,0.0809641808
124,Nordeste,0,0.1850883354,Nordeste,0.0102772674,Nordeste,0,Nordeste,0.0259529387,0.2213185415,0.0543674533
125,Nordeste,0,0.2316691405,Nordeste,0.0102772674,Nordeste,0,Nordeste,0.0421869403,0.2841333482,0.0710572794
126,Nordeste,8.2187e-5,0.3644171705,Nordeste,0.0102772674,Nordeste,0,Nordeste,0.0481638307,0.4229404556,0.1079381775
127,Nordeste,4.05482e-5,0.2926939316,Nordeste,0.0173979915,Nordeste,0,Nordeste,0.0298701292,0.3400026005,0.0859016792
128,Nordeste,2.080096e-4,0.4170837979,Nordeste,0.3527059073,Nordeste,0,Nordeste,0.0692520743,0.8392497891,0.2185511166
129,Nordeste,0.03162762,0.5784654052,Nordeste,0.3527059073,Nordeste,0,Nordeste,0.2056831603,1.1684820928,0.3060277832
130,Nordeste,0.0536208876,0.6436908426,Nordeste,0.3527059073,Nordeste,0.3333333333,Nordeste,0.2957616843,1.6791126551,0.4417017707
131,Nordeste,0.1487372378,0.7527501353,Nordeste,0.3527059073,Nordeste,0.3333333333,Nordeste,0.4585578632,2.0460844769,0.5392057864
132,Nordeste,8.037358e-4,0.375223448,Nordeste,0.0230675423,Nordeste,0,Nordeste,0.0450465419,0.444141268,0.1135712104
133,Nordeste,7.785298e-4,0.2526838608,Nordeste,0.0051515044,Nordeste,0,Nordeste,0.0184287054,0.2770426004,0.0691732754
134,Nordeste,2.61675e-5,0.2353239343,Nordeste,0.0016377987,Nordeste,0,Nordeste,0.0339322001,0.2709201006,0.0675465338
135,Nordeste,5.774166e-4,0.3952299121,Nordeste,0.0105668585,Nordeste,0,Nordeste,0.0831774294,0.4895516166,0.1256366909
